raceId,driverId,stop,lap,duration,milliseconds
841,153,1,1,645:33:07,26898
841,30,1,1,600:30:14,25021
841,17,1,11,562:13:26,23426
841,4,1,12,558:01:26,23251
841,13,1,13,572:12:29,23842
841,22,1,13,567:25:55,23643
841,20,1,14,542:28:19,22603
841,814,1,14,596:42:43,24863
841,816,1,14,606:12:58,25259
841,67,1,15,608:12:29,25342
841,2,1,15,551:51:22,22994
841,1,1,16,557:26:53,23227
841,808,1,16,588:50:24,24535
841,3,1,16,569:11:02,23716
841,155,1,16,577:32:10,24064
841,16,1,16,623:28:19,25978
841,15,1,16,597:34:34,24899
841,18,1,17,404:48:29,16867
841,153,2,17,587:06:43,24463
841,5,1,17,596:45:36,24865
841,30,2,17,575:42:43,23988
841,10,1,18,571:00:29,23792
841,18,2,19,559:16:19,23303
841,815,1,23,562:30:43,23438
841,22,2,23,908:32:38,37856
841,17,2,26,540:28:48,22520
841,4,2,27,593:35:31,24733
841,22,3,28,405:24:29,16892
841,67,2,29,554:24:00,23100
841,2,2,30,602:21:07,25098
841,13,2,31,588:00:00,24500
841,155,2,32,580:36:29,24192
841,20,2,36,576:51:50,24036
841,1,2,36,556:46:34,23199
841,153,3,35,632:21:07,26348
841,808,2,36,616:23:31,25683
841,814,2,36,583:58:05,24332
841,18,3,37,544:20:38,22681
841,16,2,37,572:54:14,23871
841,15,2,37,596:21:07,24848
841,816,2,38,634:42:14,26446
841,17,3,41,629:31:12,26230
841,22,4,40,631:24:58,26309
841,4,3,42,580:20:38,24181
841,13,3,48,578:16:48,24095
842,16,1,3,760:39:22,31694
842,22,1,3,791:28:19,32978
842,17,1,10,541:43:41,22572
842,814,1,11,546:33:07,22773
842,1,1,12,541:14:53,22552
842,20,1,13,552:27:22,23019
842,2,1,13,573:36:00,23900
842,18,1,13,537:36:00,22400
842,13,1,13,701:22:34,29224
842,15,1,13,612:23:02,25516
842,4,1,14,555:38:53,23152
842,30,1,14,541:49:26,22576
842,808,1,15,556:22:05,23182
842,67,1,15,558:43:12,23280
842,3,1,15,599:12:29,24967
842,5,1,15,698:00:58,29084
842,153,1,16,566:00:58,23584
842,16,2,16,529:06:14,22046
842,155,1,17,558:43:12,23280
842,815,1,17,566:19:41,23597
842,10,1,17,590:48:29,24617
842,816,1,17,630:02:53,26252
842,24,1,17,667:33:36,27815
842,22,2,17,588:02:53,24502
842,67,2,20,716:13:55,29843
842,17,2,22,527:47:02,21991
842,18,2,23,539:18:14,22471
842,1,2,24,542:39:50,22611
842,814,2,24,538:03:22,22419
